Acidobacterium capsulatum
Akkermansia muciniphila
Anaerocellum thermophilum
Bacteroides thetaiotaomicron
Bacteroides vulgatus
Bordetella bronchiseptica
Burkholderia xenovorans
Caldicellulosiruptor saccharolyticus
Chlorobaculum tepidum
Chlorobium limicola
Chlorobium phaeobacteroides
Chlorobium phaeovibrioides
Chloroflexus aurantiacus
Clostridium thermocellum
Deinococcus radiodurans
Desulfovibrio desulfuricans
Desulfovibrio piger
Dictyoglomus turgidum
Erwinia chrysanthemi
Enterococcus faecalis
Fusobacterium nucleatum
Gemmatimonas aurantiaca
Herpetosiphon aurantiacus
Hydrogenobaculum sp.
Leptothrix cholodnii
Nitrosomonas europaea
Nostoc sp.
Pelodictyon phaeoclathratiforme
Persephonella marina
Porphyromonas gingivalis
Rhodopirellula baltica
Rhodospirillum rubrum
Ruegeria pomeroyi
Salinispora arenicola
Salinispora tropica
Shewanella baltica
Sulfitobacter sp.
Sulfurihydrogenibium sp.
Sulfurihydrogenibium yellowstonense
Thermoanaerobacter pseudethanolicus
Thermotoga neapolitana
Thermotoga petrophila
Thermotoga sp.
Thermus thermophilus
Treponema denticola
Treponema vincentii
Zymomonas mobilis mobilis
Archaeoglobus fulgidus
Ignicoccus hospitalis
Methanocaldococcus jannaschii
Methanococcus maripaludis
Nanoarchaeum equitans
Pyrobaculum aerophilum
Pyrobaculum calidifontis
Pyrococcus horikoshii
Sulfolobus tokodaii
