#	packages	in	environment	at	/mnt/shared/scratch/synology/nw42839/apps/conda/envs/16db:
#
#	Name	Version	Build	Channel
_libgcc_mutex	0.1	main	
barrnap	0.9	2	bioconda
bcbiogff	0.6.6	py_1	bioconda
bcftools	1.9	h68d8f2e_8	bioconda
bedtools	2.29.0	hc088bd4_3	bioconda
biopython	1.74	pypi_0	pypi
blas	2.14	openblas	conda-forge
blast	2.9.0	h20b68b9_1	bioconda
boost	1.68.0	py35h3e44d54_0	conda-forge
boost-cpp	1.68.0	h11c811c_1000	conda-forge
bwa	0.7.17	hed695b0_6	bioconda
bzip2	1.0.8	h516909a_1	conda-forge
ca-certificates	2019.9.11	hecc5488_0	conda-forge
capnproto	0.6.1	hfc679d8_1	conda-forge
certifi	2018.8.24	py35_1001	conda-forge
circos	0.69.8	0	bioconda
coverage	4.5.1	py35h470a237_1	conda-forge
curl	7.64.0	h646f8bb_0	conda-forge
cycler	0.10.0	py_2	conda-forge
dbus	1.13.0	h4e0c4b3_1000	conda-forge
decorator	4.4.1	py_0	conda-forge
expat	2.2.5	he1b5a44_1004	conda-forge
fastp	0.20.0	hdbcaa40_0	bioconda
focusdb	0.3.57	dev_0	<develop>
fontconfig	2.12.6	0	conda-forge
freetype	2.8.1	hfa320df_1	conda-forge
gettext	0.19.8.1	hc5be6a0_1002	conda-forge
giflib	5.1.9	h516909a_0	conda-forge
glib	2.56.2	had28632_1001	conda-forge
glimmerhmm	3.0.4	pl526hf484d3e_3	bioconda
gmp	6.1.2	hf484d3e_1000	conda-forge
gnutls	3.6.5	hd3a4fd2_1002	conda-forge
gsl	2.5	h294904e_1	conda-forge
gst-plugins-base	1.12.5	h3865690_1000	conda-forge
gstreamer	1.12.5	h0cc0488_1000	conda-forge
hmmer	3.2.1	he1b5a44_2	bioconda
htslib	1.9	ha228f0b_7	bioconda
icu	58.2	hf484d3e_1000	conda-forge
iqtree	1.6.12	he513fc3_0	bioconda
jenkspy	0.1.4	py35h470a237_0	conda-forge
joblib	0.14.0	py_0	conda-forge
jpeg	9c	h14c3975_1001	conda-forge
kiwisolver	1.0.1	py35h2d50403_2	conda-forge
kraken2	2.0.8_beta	pl526h6bb024c_0	bioconda
krb5	1.16.3	hc83ff2d_1000	conda-forge
libblas	3.8.0	14_openblas	conda-forge
libcblas	3.8.0	14_openblas	conda-forge
libcurl	7.64.0	h01ee5af_0	conda-forge
libdeflate	1.0	h14c3975_1	bioconda
libedit	3.1.20170329	hf8c457e_1001	conda-forge
