"set"	"focusDB"	"silva"	"pkb"	"pkb_v13"	"pkb_v34"	"ref_gcn"	"ref_gcn_unique"	"assembly"	"source"	"target"
"fast"	"SRR1618795_1.4883.6411 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	0.654878847413229	1.91204588910134	0	5	3	"GCA_000756005.1"	"SRR1618795_1.4883.6411"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"fast"	"SRR1618795_2.4885.6413 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	3.27011118378025	9.52380952380952	10.7296137339056	5	3	"GCA_000756005.1"	"SRR1618795_2.4885.6413"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"fast"	"SRR1618795_3.4843.6371 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	0.654878847413229	1.91204588910134	0	5	3	"GCA_000756005.1"	"SRR1618795_3.4843.6371"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"fast"	"SRR1618795_4.4845.6373 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	3.27011118378025	9.52380952380952	10.7296137339056	5	3	"GCA_000756005.1"	"SRR1618795_4.4845.6373"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"fast"	"SRR1618795_5.1187.2715 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	0.654878847413229	1.91204588910134	0	5	3	"GCA_000756005.1"	"SRR1618795_5.1187.2715"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"full"	"SRR1618795_1.5304.6832 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	3.27011118378025	9.52380952380952	10.7296137339056	5	3	"GCA_000756005.1"	"SRR1618795_1.5304.6832"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"full"	"SRR1618795_2.28614.30142 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	0	0	0	5	3	"GCA_000756005.1"	"SRR1618795_2.28614.30142"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"full"	"SRR1618795_3.8172.9700 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	0	0	0	5	3	"GCA_000756005.1"	"SRR1618795_3.8172.9700"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"full"	"SRR1618795_4.7430.8958 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	0.654878847413229	0	2.1551724137931	5	3	"GCA_000756005.1"	"SRR1618795_4.7430.8958"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
"denovo"	"SRR1618795_1.329.1857 Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia multivorans"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"	0	0	0	5	3	"GCA_000756005.1"	"SRR1618795_1.329.1857"	"GCA_000756005.1..16S_rRNA::CP008730.1:1464053-1465582(-)"
